Date,Open,High,Low,Close,Volume
2012-12-04,1.005268,1.008634,1.004672,1.006978,64571
2012-12-05,1.006978,1.009357,1.005955,1.008085,42614
2012-12-06,1.008085,1.010959,1.007486,1.008410,64082
2012-12-07,1.008471,1.012617,1.006755,1.011879,60687
2012-12-10,1.013058,1.014158,1.011358,1.014065,57574
2012-12-11,1.014045,1.014549,1.012197,1.014086,58745
2012-12-12,1.014075,1.017781,1.013664,1.015651,60501
2012-12-13,1.015713,1.017926,1.014734,1.015806,59580
2012-12-14,1.015796,1.017191,1.013695,1.014775,61305
2012-12-17,1.014600,1.017170,1.012074,1.016622,59171
2012-12-18,1.016642,1.017159,1.014219,1.014322,55979
2012-12-19,1.014312,1.015383,1.011051,1.011092,61380
2012-12-20,1.011112,1.013315,1.010540,1.012648,63123
2012-12-21,1.012525,1.012751,1.004773,1.006958,66789
2012-12-24,1.006786,1.009122,1.005611,1.009021,40197
2012-12-26,1.008197,1.008898,1.004995,1.006482,31283
2012-12-27,1.006482,1.009336,1.004248,1.005045,63363
2012-12-28,1.005055,1.006269,1.003009,1.003230,59377
2012-12-31,1.004702,1.009173,1.003029,1.005268,49824
2013-01-01,1.007242,1.008065,1.006918,1.007394,511
2013-01-02,1.007394,1.016673,1.005733,1.014806,65782
2013-01-03,1.014847,1.016054,1.011439,1.011613,65213
2013-01-04,1.011624,1.015455,1.007760,1.013089,68953
2013-01-07,1.014065,1.014981,1.011695,1.014435,63720
2013-01-08,1.014446,1.015992,1.011910,1.013592,65100
2013-01-09,1.013592,1.014806,1.012095,1.012443,66362
2013-01-10,1.012433,1.017584,1.012187,1.017118,72518
2013-01-11,1.017046,1.018838,1.014940,1.015517,72594
2013-01-14,1.015816,1.017232,1.013613,1.016301,72728
2013-01-15,1.016281,1.017211,1.013551,1.015981,81508
2013-01-16,1.016002,1.016580,1.012433,1.014014,74155
2013-01-17,1.014003,1.016012,1.011603,1.014631,77011
2013-01-18,1.014652,1.014888,1.005419,1.008603,77212
2013-01-21,1.007932,1.009204,1.006188,1.007425,57970
2013-01-22,1.007425,1.009265,1.005500,1.008136,78880
2013-01-23,1.008115,1.009836,0.999590,1.000330,75701
2013-01-24,1.000340,1.001051,0.996453,0.997785,75270
2013-01-25,0.997785,0.997934,0.990138,0.994382,73216
2013-01-28,0.993404,0.994303,0.990128,0.994105,69461
2013-01-29,0.994065,0.999320,0.993433,0.998652,73707
2013-01-30,0.998642,0.999201,0.994817,0.998373,73993
2013-01-31,0.998363,1.004369,0.996592,1.003271,71539
2013-02-01,1.003301,1.003684,0.999650,1.003684,69605
2013-02-04,1.003442,1.005298,1.000761,1.000991,67481
2013-02-05,1.000991,1.005146,1.000590,1.004631,70300
2013-02-06,1.004621,1.005005,1.001171,1.004329,69652
2013-02-07,1.004329,1.006867,1.000640,1.002325,68449
2013-02-08,1.002335,1.003009,0.996532,0.998034,63969
2013-02-11,0.997009,0.997367,0.991758,0.994827,59367
2013-02-12,0.994827,0.998642,0.991326,0.998432,63453
2013-02-13,0.998422,0.998851,0.995669,0.998602,60534
2013-02-14,0.998622,1.000120,0.997636,0.999360,63197
2013-02-15,0.999350,0.999880,0.991877,0.993848,61631
2013-02-18,0.992536,0.994352,0.988084,0.989570,51679
